company,any_continuity,grouping
Keystone Consolidated Industries,,
Kidde,,
Kimball International,,
Kimberly-Clark,,
Kinder Morgan,yes,
Kinder Morgan Energy,yes,
Kindred Healthcare,,
KKR,,
Kmart Holding,,
Knight,,
Knight-Ridder,,
Knoll International Holdings,,
Knudsen,,
Koehring,,
Kohl's,yes,87
Kohl’s,yes,87
Kohler,,
Koppers,,
Kraft,yes,
Kraft Foods,yes,
Kraft Foods Group,yes,
Kraft Heinz,yes,
Kroehler Manufacturing,,
Kroger,,
KVP Sutherland Paper,,
L Brands,,
L-3 Communications,yes,90
L.B. Foster,,
L3 Technologies,yes,
L3Harris Technologies,yes,
La-Z-Boy,,
Laboratory Corp. of America,,
Laclede Steel,,
Lafarge,,
Laidlaw International,,
Lam Research,,
Lancaster Colony,,
Land O'Lakes,yes,88
Land O’Lakes,yes,88
LandAmerica Financial,,
Langendorf United Bakeries,,
Lansing Trade Group,,
Las Vegas Sands,,
Lear,yes,
Lear Siegler,yes,
Lees (James) & Sons,,
Legg Mason,,
Leggett & Platt,,
Lehigh Portland Cement,,
Lehman Brothers,yes,
Lehman Brothers Hldgs.,yes,89
Lehman Brothers Holdings,yes,89
Leidos Holdings,,
Lennar,,
Lennox International,,
Leslie Fay,,
Leucadia National,,
Level 3 Communications,yes,90
Lever Brothers,,
Levi Strauss,,
Lexmark International,,
LG&E Energy,,
"Libby, McNeill & Libby",,
Liberty Global,yes,
Liberty Interactive,yes,
Liberty Media,yes,
Liberty Mutual Ins. Group,yes,91
Liberty Mutual Insurance Group,yes,91
Liebmann Breweries,,
LifePoint Health,,
Liggett Group,,
Lily-Tulip Cup,,
Limited Brands,,
Lincoln Electric Holdings,,
Lincoln National,,
Link-Belt,,
Lion Oil,,
Liquid Air,,
Liquid Carbonic,,
Lithia Motors,,
Litton Industries,,
Live Nation Entertainment,,
Liz Claiborne,,
LKQ,,
Lockheed Martin,,
Loctite,,
Loews,,
Lone Star Industries,,
Lone Star Steel,,
Lone Star Technologies,,
Long Island Lighting,,
Long-Bell Lumber Co.,,
Longs Drug Stores,,
Longview Fibre,,
Loral,,
Lorillard,,
Louisiana Land & Exploration,,
Louisiana-Pacific,,
Lowe's,yes,92
Lowe’s,yes,92
LPL Technologies,,
